		Total RNA				Ribosome-footprinted RNA			
	ycjQ	6.89843	7.4016	0.101569	0.7892	24.3905	23.3464	-0.0631195	0.8882
	ycjR	7.39936	8.07872	0.126725	0.74315	6.01648	6.77657	0.171637	0.7313
	ycjS	5.88028	5.1311	-0.196616	0.74865	0.800246	2.14302	1.42113	0.1776
	ycjT	3.54782	3.27109	-0.11716	0.80995	0.44268	0.720828	0.703391	0.416
	ycjU	2.31505	2.13761	-0.115049	0.933	0.781456	0.730853	-0.0965828	0.9508
	ycjV	17.6984	7.13793	-1.31004	0.6395	19.5443	5.63005	-1.79553	0.6478
	ycjW	4.65051	4.3281	-0.103655	0.78845	15.4527	15.3748	-0.00729004	0.98715
	ycjX	7.92425	12.8096	0.692876	0.1766	3.90914	6.26361	0.680144	0.32625
	ycjY	1.75877	1.27624	-0.462662	0.3199	4.54808	4.15473	-0.130502	0.7991
	ycjZ	4.05636	3.94941	-0.0385488	0.92065	13.7101	13.6718	-0.00403498	0.99245
	ydaE	2.35728	0.262793	-3.16513	0.2945	6.3688	0.310135	-4.36006	0.2786
	ydaF	13.1965	9.26716	-0.509955	0.7064	13.0789	3.34391	-1.96764	0.47655
	ydaG	22.0769	16.616	-0.409961	0.62005	21.6795	69.9225	1.68943	0.11695
	ydaL	40.24	38.4274	-0.0664925	0.85435	51.2085	58.5673	0.193713	0.64075
	ydaM	3.22602	3.19186	-0.015358	0.9702	5.1142	4.763	-0.102639	0.82475
	ydaN	17.5562	19.2501	0.132881	0.7089	26.252	30.9017	0.235258	0.5649
	ydaQ	3.37732	1.75693	-0.942819	0.32425	4.1003	3.19879	-0.358205	0.77195
	ydaT	2.56642	1.42056	-0.853298	0.14925	9.50937	7.17222	-0.406929	0.47355
	ydaU	0.970469	0.895571	-0.115874	0.8281	0.701231	0.411482	-0.76906	0.40925
	ydaV	1.47038	0.972646	-0.596197	0.2672	0.22487	0.227709	0.0181022	1
	ydbA	19.2836	22.2077	0.203688	0.56145	2.88826	2.64386	-0.127557	0.78045
	ydbC	5.89362	6.04028	0.0354606	0.93035	11.257	10.3402	-0.122551	0.79285
	ydbD	0.627721	0.403878	-0.636203	0.179	0.162702	0.27867	0.776329	0.37855
	ydbH	7.72863	7.71504	-0.00253818	0.99395	3.59655	3.68264	0.0341243	0.94945
	ydbJ	228.052	230.079	0.0127702	0.97705	866.213	912.657	0.0753523	0.87115
	ydbK	29.1764	35.815	0.295763	0.40965	18.5795	39.4622	1.08676	0.0108
	ydbL	12.7014	10.5826	-0.2633	0.54185	53.4281	47.4991	-0.169698	0.7148
	ydcA	90.9431	82.9695	-0.132382	0.75695	97.1218	114.814	0.241438	0.67135
	ydcC	0.501675	0.538846	0.103121	0.85435	0.750564	0.454686	-0.723104	0.37585
	ydcD	3.69773	2.10276	-0.814358	0.3536	16.4154	18.3651	0.161915	0.81575
	ydcF	16.9059	18.6958	0.145189	0.6897	38.076	40.213	0.0787798	0.8513
	ydcH	180.81	193.821	0.100244	0.7985	177.002	143.441	-0.303317	0.54715
	ydcI	7.36041	7.84019	0.0911018	0.81325	15.0055	18.7179	0.31893	0.49255
	ydcJ	3.13973	3.14392	0.00192313	0.99685	3.08352	3.12992	0.0215461	0.9639
	ydcK	1.42456	1.17681	-0.275638	0.70235	1.02383	1.23026	0.264986	0.851
	ydcL	10.9753	10.2446	-0.0993959	0.79575	45.6968	37.1328	-0.299397	0.48015
	ydcM	19.6881	17.7838	-0.146759	0.6739	6.02074	6.0593	0.00921018	0.98415
	ydcN	7.14657	7.19842	0.0104284	0.9799	10.4641	13.5387	0.371631	0.4442
	ydcO	2.71815	2.51835	-0.110149	0.78485	2.98802	3.42037	0.194962	0.7048
	ydcP	26.1677	25.4107	-0.0423538	0.89935	17.3627	17.2156	-0.0122721	0.9751
	ydcQ	5.28656	5.08033	-0.0574063	0.9024	31.2543	30.0616	-0.0561357	0.8985
	ydcR	6.23625	6.01652	-0.05175	0.8894	7.19328	6.75217	-0.0912995	0.8437
	ydcS	3.26131	3.56172	0.127123	0.74855	2.84229	2.78391	-0.0299391	0.95335
	ydcT	2.42002	2.37552	-0.0267788	0.9498	0.484366	0.821215	0.761663	0.3596
	ydcU	2.9912	2.42315	-0.303839	0.56495	1.00555	0.817285	-0.299069	0.69315
	ydcV	2.67958	2.3417	-0.19445	0.7497	0.38885	0.156973	-1.30869	0.5158
	ydcX	18.2374	18.2945	0.00450982	0.9917	4.79775	2.36105	-1.02293	0.3967
	ydcY	426.836	427.782	0.00319588	0.9929	2419.26	3001.68	0.311207	0.46605
	ydcZ	11.7541	12.7423	0.116458	0.8223	4.33876	4.28206	-0.0189771	0.9856
	yddA	0.675353	0.996928	0.561847	0.2405	1.04062	1.12478	0.112199	0.8592
	yddB	2.50852	2.65256	0.0805465	0.8325	5.21856	7.41486	0.506769	0.2509
	yddE	15.0142	14.6436	-0.0360558	0.9218	12.5698	10.079	-0.318607	0.47815
	yddG	4.80875	4.36912	-0.13832	0.73095	8.18997	9.89478	0.27281	0.55365
	yddH	4.04097	3.13174	-0.367736	0.5342	2.50798	2.33264	-0.104561	0.94665
	yddJ	0.411334	0.154319	-1.41439	0.36055	2.18085	1.66651	-0.388055	0.70735
	yddK	0.10586	0.0626979	-0.755671	1	0.0514448	0.0246643	-1.0606	1
	yddM	44.0558	41.646	-0.0811531	0.8371	48.8424	70.2613	0.524596	0.2637
	yddV	0.703331	0.604128	-0.21935	0.66325	0.861626	0.467696	-0.88149	0.2191
	yddW	14.4596	18.1039	0.32428	0.3635	17.9763	16.6334	-0.112016	0.79035
	ydeA	3.00066	2.52701	-0.247851	0.53805	1.25712	1.15762	-0.118952	0.84745
	ydeE	3.11324	2.74366	-0.182314	0.64325	1.31762	0.915484	-0.525327	0.41125
	ydeH	13.8203	15.8259	0.195501	0.5961	32.4047	26.8144	-0.273193	0.5054
	ydeI	1.08602	1.17786	0.117108	0.87055	13.6717	10.4904	-0.382122	0.46775
	ydeJ	6.13331	4.24274	-0.53167	0.32295	7.75333	5.01886	-0.627456	0.40255
	ydeM	1.29174	1.15784	-0.157882	0.73525	1.7882	1.55747	-0.199309	0.73215
	ydeN	4.08958	4.29539	0.070838	0.85175	28.0424	29.9088	0.0929639	0.81295
	ydeO	0.257915	0.150088	-0.781089	0.40065	0.218854	0.454157	1.05322	0.38945
	ydeP	1.53882	1.23501	-0.317303	0.43485	0.908854	1.16628	0.3598	0.521
	ydeQ	0.490342	0.471311	-0.0571086	0.92355	0.55839	0.769858	0.463318	0.56805
	ydeR	1.53058	0.667806	-1.19658	0.23405	0.257174	0.263035	0.0325088	1
	ydeS	1.00629	0.398491	-1.33644	0.08895	0.508567	0.941458	0.888459	0.41265
	ydeT	0.623493	0.416039	-0.583654	0.31875	0.0769161	0.154013	1.0017	1
	ydfA	12.8262	11.2911	-0.183911	0.81455	10.1822	17.4259	0.775184	0.5157
	ydfB	7.84247	12.4105	0.662177	0.569	6.65498	13.7828	1.05036	0.50905
	ydfC	8.8615	8.40935	-0.0755563	0.9034	26.6179	24.6461	-0.11104	0.8697
	ydfD	1.93912	0.599307	-1.69403	0.29005	0.184403	0.235757	0.354437	0.0986
	ydfG	80.441	87.1784	0.116039	0.7368	228.641	301.811	0.400563	0.3164
	ydfH	27.6661	35.1028	0.343466	0.3414	10.2142	13.0249	0.350695	0.4567
	ydfI	1.90491	1.63405	-0.221269	0.5954	1.12944	1.1804	0.0636685	0.9111
	ydfJ	1.17278	0.983752	-0.253569	0.58475	0.133541	0.117594	-0.183461	1
	ydfK	5.48186	1.51079	-1.85936	0.23165	66.2356	37.7919	-0.809531	0.27945
	ydfO	0.982413	1.1925	0.279591	0.69395	11.7837	7.72461	-0.60926	0.26255
	ydfR	1.26735	1.15746	-0.130849	0.89825	3.32272	2.24465	-0.565875	0.61065
	ydfU	1.78902	1.29269	-0.468801	0.29855	0.0687109	0.0805254	0.228906	1
	ydfZ	12.5668	12.5309	-0.00412874	0.98155	48.8662	74.0883	0.600411	0.28685
	ydgA	38.5862	37.4238	-0.0441293	0.89525	117.054	97.8543	-0.258471	0.51245
	ydgC	20.9514	23.1708	0.145266	0.8071	19.2794	15.184	-0.344502	0.7085
	ydgD	24.5217	26.3053	0.101296	0.7796	12.8728	12.5792	-0.0332773	0.9403
	ydgH	66.4919	60.7369	-0.130604	0.6993	271.324	245.486	-0.144378	0.7175
	ydgI	5.26577	5.28112	0.00419992	0.99235	2.01523	1.63375	-0.302758	0.5698
	ydgJ	21.5941	20.0899	-0.104169	0.77435	14.2397	16.7095	0.23075	0.5892
	ydgK	58.8581	67.895	0.206062	0.56435	57.3199	54.4881	-0.0730953	0.86415
	ydhB	15.5764	15.2069	-0.0346361	0.9783	12.6684	12.3263	-0.0394947	0.98355
	ydhC	8.21287	6.80483	-0.271328	0.473	8.66111	6.71562	-0.367033	0.43865
	ydhF	31.0854	31.4004	0.0145447	0.96845	139.42	141.656	0.0229527	0.95355
	ydhI	26.3397	29.7167	0.174034	0.6925	54.7848	54.2102	-0.0152127	0.9777
	ydhJ	6.49421	5.72497	-0.181886	0.63835	15.2604	13.4325	-0.184064	0.6785
	ydhK	5.36084	4.97581	-0.107526	0.76065	1.06387	1.09556	0.0423473	0.9389
	ydhO	19.7118	17.8649	-0.14193	0.6943	60.2145	54.2356	-0.150871	0.7128
	ydhP	4.73448	3.998	-0.243927	0.5295	2.3292	1.82381	-0.352882	0.5194
	ydhQ	43.1236	43.0631	-0.00202653	0.99485	107.063	115.298	0.106901	0.7812
	ydhR	57.6338	51.024	-0.17574	0.6545	252.46	207.021	-0.286274	0.4949
	ydhS	1.39557	1.20798	-0.208261	0.6318	0.679418	0.771994	0.18429	0.78835
	ydhT	2.31993	2.08449	-0.15439	0.72365	0.357531	0.152354	-1.23064	0.35485
	ydhU	2.48677	2.39616	-0.0535442	0.9217	1.03696	0.929395	-0.157991	0.861
	ydhV	0.991559	0.662793	-0.581139	0.18905	0.893816	0.34303	-1.38164	0.0634
	ydhW	2.30179	1.8088	-0.347725	0.4762	0.144338	0.30509	1.07978	0.488
	ydhX	2.97707	2.53745	-0.23051	0.7218	1.64555	1.07105	-0.619544	0.52265
	ydhY	1.65521	0.987882	-0.744609	0.19155	1.24724	0.765932	-0.703454	0.4306
	ydhZ	122.997	104.907	-0.229517	0.58525	248.404	244.665	-0.0218803	0.96295
	ydiA	11.1203	11.4456	0.0415971	0.90665	27.017	25.8354	-0.0645219	0.8804
	ydiB	1.10928	0.914498	-0.278567	0.5879	0.598629	0.708908	0.243937	0.7745
	ydiE	72.2342	72.5748	0.00678668	0.98665	43.7109	66.2041	0.598928	0.33045
	ydiF	0.547572	0.286128	-0.936387	0.095	0.378948	0.503114	0.408885	0.5907
	ydiH	9.79275	9.24676	-0.0827657	0.9034	33.6816	44.7025	0.408393	0.5232
	ydiI	29.0107	35.9091	0.30776	0.7729	56.2933	70.8591	0.331989	0.6127
	ydiJ	16.2551	20.3848	0.326607	0.37935	4.58146	9.26118	1.01539	0.06965
	ydiK	25.9354	25.8468	-0.00493581	0.9887	20.4847	18.985	-0.109683	0.79175
	ydiL	1.65906	0.539023	-1.62195	0.0958	2.65913	3.91304	0.557336	0.4954
	ydiM	0.572596	0.367785	-0.638654	0.26095	0.0335571	0.0918461	1.4526	1
	ydiN	0.418392	0.157852	-1.40628	0.0474	0.103849	0.096241	-0.109758	1
	ydiO	1.15088	1.09853	-0.0671614	0.8864	0.924001	0.604353	-0.612503	0.4116
	ydiP	2.13378	1.80073	-0.244831	0.57285	8.36014	6.95859	-0.264731	0.5723
	ydiQ	1.0295	0.959559	-0.101497	0.8496	1.09499	0.705242	-0.634732	0.4406
	ydiR	2.61165	2.0485	-0.350392	0.41255	1.9024	1.08169	-0.814529	0.21505
	ydiS	1.68189	1.13732	-0.564446	0.23675	0.159586	0.265319	0.733394	0.56165
	ydiT	2.28252	2.5429	0.155848	0.90905	1.6764	1.31102	-0.354679	0.8133
	ydiU	19.7235	16.4974	-0.257675	0.4708	15.6755	14.3489	-0.127573	0.76565
	ydiV	3.40563	2.65926	-0.356898	0.4024	3.53591	2.46409	-0.521025	0.3679
	ydiY	19.5729	14.4474	-0.438052	0.23555	32.8958	21.8398	-0.590943	0.17535
	ydiZ	7.54963	9.39154	0.314957	0.53245	47.6712	48.4806	0.0242901	0.96085
	ydjA	74.5501	74.3858	-0.00318279	0.99245	279.083	292.602	0.0682465	0.8628
	ydjE	1.7285	1.80553	0.0629048	0.88045	0.978124	1.26558	0.371714	0.53935
	ydjF	16.7305	18.1541	0.117813	0.74635	53.2319	51.9535	-0.0350706	0.928
	ydjG	2.31075	2.50409	0.115928	0.78865	3.89587	5.00117	0.36032	0.4754
	ydjH	1.27827	1.44044	0.172313	0.7069	0.686664	1.00221	0.545507	0.4779
	ydjI	1.40132	1.46861	0.0676716	0.8926	6.22513	8.68331	0.48014	0.31645
	ydjJ	1.48045	1.41983	-0.0603191	0.897	2.45394	2.40606	-0.0284286	0.9556
	ydjK	1.27291	0.925689	-0.459534	0.3049	0.322641	0.408158	0.339199	0.69065
	ydjL	1.28045	1.38937	0.117779	0.79905	3.70725	4.89216	0.400123	0.4197
	ydjM	3.36766	2.85264	-0.239448	0.59645	3.02451	2.62078	-0.206705	0.7476
	ydjN	8.00485	7.9395	-0.011827	0.97465	6.77255	6.44496	-0.0715274	0.8782
	ydjO	0.447919	0.321744	-0.477321	0.4877	0.223774	0.375897	0.748296	0.52375
	ydjX	3.37007	3.06897	-0.135025	0.75385	3.66143	3.30235	-0.148913	0.80005
	ydjY	1.36331	1.0686	-0.351398	0.51065	2.12832	1.89536	-0.16724	0.80175
	ydjZ	3.70865	3.9223	0.0808065	0.88895	0.640252	0.998727	0.64145	0.60035
	yeaC	212.633	249.36	0.229865	0.52715	358.195	746.308	1.05903	0.0095
	yeaD	34.8586	41.776	0.261161	0.4547	214.738	234.391	0.126343	0.74965
	yeaE	9.8336	7.98404	-0.300601	0.43005	11.4908	13.8237	0.266667	0.5573
	yeaG	6.91711	7.26566	0.0709242	0.84685	2.19905	2.85293	0.375564	0.4562
	yeaH	1.89843	1.70272	-0.156963	0.7173	0.600377	0.576494	-0.0585634	0.93965
	yeaI	0.671646	0.305777	-1.13522	0.0525	0.220774	0.134225	-0.717924	0.5264
	yeaJ	17.7852	16.2647	-0.128937	0.73465	16.9217	14.5422	-0.218627	0.6225
	yeaK	37.3136	33.0883	-0.173381	0.6464	403.6	394.201	-0.0339972	0.9354
	yeaL	8.65495	7.74827	-0.159651	0.8374	11.504	11.999	0.0607841	0.9287
	yeaM	6.3019	6.30311	0.000276674	0.9976	3.93202	4.27713	0.121372	0.8818
	yeaN	3.9859	3.85555	-0.0479673	0.9028	2.93507	2.45944	-0.255064	0.62195
	yeaO	25.9591	23.5101	-0.142963	0.7093	64.5119	65.9208	0.0311699	0.94545
	yeaP	11.4208	11.4591	0.00483281	0.9886	11.2976	9.87408	-0.194294	0.66815
	yeaQ	43.8197	46.6359	0.0898608	0.8264	285.953	407.708	0.511761	0.227
	yeaR	4.84221	3.99044	-0.279119	0.60545	23.9862	21.0812	-0.186245	0.7239
	yeaT	10.4954	11.4783	0.129148	0.7192	13.5273	12.9595	-0.0618672	0.89015
	yeaU	2.41134	2.83558	0.233813	0.56625	1.69607	1.86019	0.133256	0.8177
	yeaV	1.3131	0.716513	-0.873911	0.06125	0.26092	0.0852653	-1.61358	0.2061
	yeaW	1.38435	0.897485	-0.625252	0.1927	1.0339	1.39475	0.431906	0.4938
	yeaX	1.98817	1.96344	-0.0180579	0.96295	0.986719	1.10826	0.16759	0.81145
	yeaY	97.8843	87.8786	-0.155567	0.65035	60.8939	57.012	-0.0950318	0.8217
	yeaZ	71.8115	66.7036	-0.10645	0.75205	114.95	98.32	-0.225456	0.5727
	yebA	59.1716	62.3374	0.0751921	0.8253	68.0099	68.283	0.00578215	0.98895
	yebB	4.39441	4.41602	0.0070777	0.9862	0.747131	1.63036	1.12575	0.1915
	yebC	303.774	247.293	-0.296781	0.39925	848.306	721.314	-0.233958	0.56325
	yebE	18.3177	17.169	-0.0934388	0.80685	26.4861	27.8204	0.0709049	0.86905
	yebF	140.276	140.262	-0.00013567	0.99955	144.225	157.712	0.128978	0.77795
	yebG	172.554	167.439	-0.0434167	0.90245	710.656	702.36	-0.0169417	0.9646
	yebK	52.631	55.0322	0.0643634	0.8446	62.5185	76.555	0.292215	0.46155
	yebN	12.9012	8.75227	-0.559774	0.51305	14.6052	9.29849	-0.651415	0.6354
	yebO	438.543	423.872	-0.0490891	0.88925	258.559	151.92	-0.767178	0.0712
	yebQ	2.31884	2.09388	-0.147224	0.71565	1.73755	1.10374	-0.65465	0.25735
	yebR	79.7905	86.4574	0.115772	0.74055	162.9	152.569	-0.0945188	0.80855
	yebS	6.27103	6.63669	0.0817606	0.8937	2.26502	2.67366	0.23929	0.7992
	yebT	5.89573	5.65777	-0.0594373	0.88805	3.63427	3.32206	-0.12959	0.7925
	yebV	12.2229	17.6381	0.529107	0.28725	27.9874	26.5462	-0.0762697	0.89475
	yebW	63.4638	70.7068	0.155916	0.7147	42.7869	29.2137	-0.550522	0.41145
	yebY	71.6422	75.4772	0.0752309	0.83835	281.808	242.55	-0.216426	0.601
	yebZ	42.1932	40.2174	-0.0691911	0.847	10.2312	9.82093	-0.0590443	0.8999
	yecA	87.4854	74.7545	-0.22688	0.51265	215.906	198.386	-0.122093	0.76515
	yecC	22.228	22.334	0.00686365	0.98825	6.51682	7.64102	0.229598	0.7273
	yecD	36.1105	35.8639	-0.00988514	0.98055	155.321	156.327	0.00931756	0.9808
	yecE	8.9494	9.52664	0.0901754	0.89205	8.08838	7.6489	-0.0805983	0.95605
	yecF	262.034	211.959	-0.305967	0.40425	996.473	801.741	-0.313694	0.4387
	yecH	26.2727	19.9891	-0.394354	0.39495	51.0822	46.6497	-0.130952	0.80495
	yecJ	27.1981	30.4489	0.162882	0.70255	308.752	327.215	0.0837915	0.8408
	yecM	30.4466	31.4557	0.0470409	0.89595	16.8383	18.5354	0.138537	0.76325
	yecN	45.7535	43.0161	-0.0890024	0.80955	47.3926	43.5107	-0.123291	0.78305
	yecR	4.62833	3.07484	-0.589982	0.30255	2.16559	3.98721	0.880617	0.34555
	yecS	17.6473	16.6053	-0.0878061	0.8769	9.66973	6.93607	-0.479357	0.4552
	yecT	1.7122	1.24164	-0.463607	0.42865	4.09693	2.61167	-0.649572	0.33575
	yedA	2.80074	1.87297	-0.580475	0.69565	1.82169	1.23361	-0.562384	0.7866
	yedD	116.907	111.733	-0.0653138	0.85045	316.366	328.31	0.0534636	0.89295
	yedE	20.5809	18.4211	-0.159945	0.67125	25.7897	18.1096	-0.510035	0.2673
	yedF	68.232	61.6564	-0.146198	0.88725	116.583	77.8816	-0.582	0.5663
	yedI	28.7496	26.3546	-0.125485	0.7271	41.8633	41.964	0.00346603	0.99265
	yedJ	18.2294	16.2851	-0.162718	0.65585	6.70794	5.56	-0.270784	0.59435
	yedK	1.37725	0.931912	-0.563523	0.30065	0.854682	0.571228	-0.581321	0.5714
	yedL	1.51209	1.29863	-0.219551	0.70545	2.2585	1.83848	-0.296853	0.7045
	yedP	3.94341	4.02873	0.0308793	0.9745	4.34642	5.41481	0.317083	0.69985
	yedQ	9.02704	8.95124	-0.0121667	0.9752	3.0185	3.15571	0.0641332	0.9196
	yedR	6.61037	6.58827	-0.00483167	0.9891	5.04951	6.23052	0.30321	0.6906
	yedS	52.196	47.7323	-0.128974	0.74555	14.7679	11.6288	-0.344763	0.55835
	yedV	1.47083	1.59489	0.116826	0.8482	5.48263	4.32034	-0.343725	0.5979
	yedW	4.46982	4.21135	-0.085931	0.86475	11.0852	10.9297	-0.0203874	0.973
	yedY	10.5759	9.68498	-0.126961	0.7442	4.21627	4.61687	0.130949	0.79725
	yedZ	5.74243	5.4117	-0.0855788	0.83805	1.58758	1.48626	-0.0951412	0.90085
	yeeA	8.97194	8.14861	-0.138868	0.72545	2.90421	2.66045	-0.126473	0.8148
	yeeD	21.2132	22.9802	0.115429	0.80755	66.4886	54.6009	-0.284182	0.5888
	yeeE	2.03585	1.5544	-0.389272	0.3729	0.426379	0.231694	-0.879912	0.38525
	yeeF	64.3263	61.3539	-0.0682537	0.84625	22.1267	14.4858	-0.611144	0.15615
	yeeJ	2.68585	2.38308	-0.172552	0.6236	3.37609	3.23648	-0.0609278	0.8849
	yeeL	1.42305	1.11405	-0.353181	0.66195	1.30685	0.463023	-1.49694	0.3073
	yeeN	36.7674	34.8427	-0.0775687	0.8282	352.194	269.531	-0.385922	0.3319
	yeeO	2.36419	1.87983	-0.330745	0.4121	0.996251	1.02266	0.0377431	0.9488
	yeeP	6.02193	5.17153	-0.219635	0.59835	0.457157	0.327255	-0.482272	0.714
	yeeR	2.8165	2.1285	-0.404067	0.39755	0.60031	0.608659	0.0199264	0.9792
	yeeS	7.35854	5.4913	-0.422271	0.5483	1.0831	0.454841	-1.25173	0.49185
	yeeT	12.2149	7.30972	-0.740748	0.21835	1.26123	0.73294	-0.783067	0.7184
	yeeU	8.20255	6.85204	-0.259539	0.6504	1.10425	0.513271	-1.10528	0.5768
	yeeV	4.65567	4.64602	-0.00299272	0.993	0.405124	0.17858	-1.18179	0.5894
	yeeX	194.742	197.612	0.0211088	0.95465	916.267	1020.33	0.155191	0.70365
	yeeY	7.61331	7.80547	0.03596	0.926	1.43892	1.32081	-0.123566	0.85195
	yeeZ	39.9527	38.6923	-0.046246	0.89535	64.0239	66.1421	0.0469581	0.9057
	yefM	63.4378	48.8048	-0.378321	0.4742	862.363	547.909	-0.654359	0.1303
	yegD	9.72299	6.43871	-0.594628	0.11415	4.95612	1.37232	-1.85259	0.0015
	yegE	2.66131	2.13748	-0.316224	0.3966	0.895831	0.596744	-0.586115	0.27375
	yegH	9.18663	9.47098	0.0439779	0.90235	5.72389	5.75499	0.00781616	0.9853
	yegI	3.27107	2.69633	-0.278765	0.4552	0.677902	0.7219	0.0907206	0.8784
	yegJ	0.710235	0.543449	-0.386151	0.61505	5.09926	4.02518	-0.341234	0.57985
	yegK	2.47083	1.78178	-0.471675	0.3254	0.157045	0.155424	-0.0149642	1
	yegL	3.37404	2.39115	-0.496774	0.267	2.02121	1.63131	-0.309192	0.66225
	yegP	6.75644	8.29392	0.295791	0.55945	27.48	31.6478	0.203727	0.7187
	yegQ	50.997	48.5784	-0.0700977	0.83745	78.5773	64.1498	-0.292667	0.457
	yegR	4.03509	2.87954	-0.486763	0.39185	14.2796	13.2728	-0.105484	0.8503
	yegS	2.75859	1.93109	-0.514515	0.2377	3.77886	3.41707	-0.14519	0.77755
	yegT	3.69016	3.78411	0.0362722	0.97005	6.21778	5.12364	-0.279231	0.7812
	yegU	10.8078	10.6922	-0.0155224	0.98155	17.8815	16.1734	-0.144849	0.8243
	yegV	10.2864	10.0215	-0.0376441	0.95665	6.20774	5.85807	-0.0836433	0.9419
	yegW	15.1411	13.7741	-0.136516	0.8407	18.9445	17.912	-0.080851	0.91925
	yegX	5.22697	4.52777	-0.207174	0.59855	0.658967	0.472452	-0.480037	0.59885
	yegZ	28.2843	15.8566	-0.83492	0.247	0	0	0	1
	yehA	0.582788	0.541342	-0.106431	0.84985	0.42992	0.446814	0.0556049	0.94925
	yehB	0.712244	0.339005	-1.07106	0.03325	0.0820713	0.0831007	0.0179833	1
	yehC	0.250945	0.10119	-1.3103	0.2104	0.189731	0.161619	-0.231351	1
	yehD	0.880518	0.415543	-1.08336	0.15765	3.61988	2.15357	-0.749214	0.26895
	yehE	26.3111	34.7011	0.39931	0.5029	87.7157	139.178	0.666028	0.2928
	yehH	1.1632	0.526308	-1.14412	0.26645	0.0604172	0.0884109	0.549264	1
	yehI	1.51709	1.12225	-0.434909	0.26415	0.257395	0.156534	-0.717505	0.3335
	yehK	0.040497	0.307867	2.92642	1	0.16345	0.261211	0.676365	1
	yehL	1.02957	0.786517	-0.388487	0.43755	0.717178	0.230963	-1.63467	0.1233
	yehM	1.45457	1.00458	-0.533995	0.4448	0.0748078	0.0567867	-0.397636	1
	yehP	1.52402	1.043	-0.547139	0.5908	0.150612	0.145981	-0.0450474	1
	yehQ	12.2298	12.119	-0.0131325	0.96525	0	0.477701	inf	1
	yehR	3.71239	3.28303	-0.177322	0.71785	6.73042	8.93085	0.408102	0.45455
	yehS	63.5985	53.2405	-0.256469	0.47395	82.6992	68.0867	-0.280502	0.5037
	yehT	28.42	26.0767	-0.124143	0.8622	40.1687	35.2389	-0.188905	0.75795
	yehU	31.2179	29.7945	-0.0673286	0.8653	18.9043	15.6096	-0.276277	0.61205
	yehW	6.08663	5.89927	-0.0451067	0.93285	5.99425	4.53181	-0.403491	0.8006
	yehX	4.33581	3.68188	-0.235858	0.6821	0.815382	0.941623	0.207672	0.85035
	yehY	4.22025	3.62502	-0.21934	0.6626	0.530835	0.817883	0.62363	0.53315
	yeiA	10.2241	7.20496	-0.504914	0.31445	12.9259	8.29733	-0.639541	0.39535
	yeiB	0	0	0	1	0	0	0	1
	yeiB	7.26536	6.51535	-0.157191	0.86145	1.64724	1.92957	0.228228	0.94415
	yeiE	35.7221	31.4766	-0.18254	0.6061	27.264	27.2122	-0.0027452	0.99495
	yeiG	12.3122	10.9696	-0.166583	0.6547	32.3261	23.4756	-0.461536	0.2986
	yeiH	24.7528	24.3024	-0.0264936	0.937	21.3209	20.5801	-0.0510174	0.9009
	yeiI	21.9528	22.1276	0.0114426	0.97385	6.86975	5.48707	-0.324221	0.48695
	yeiL	0.879488	0.906191	0.0431504	0.93945	2.67344	1.5156	-0.818808	0.23185
	yeiP	100.737	99.6635	-0.0154512	0.96335	494.152	448.395	-0.140186	0.71965
	yeiQ	15.706	14.99	-0.0673227	0.85475	21.1961	18.9248	-0.163519	0.69395
	yeiR	13.106	13.6774	0.0615663	0.8703	15.0039	16.4731	0.134771	0.7643
	yeiS	10.7616	11.9212	0.147645	0.77765	174.139	168.53	-0.0472316	0.91995
	yeiT	9.07476	6.89649	-0.395996	0.45945	23.0369	16.8567	-0.450627	0.3946
	yeiW	34.3293	32.318	-0.087103	0.93585	4.71599	1.24262	-1.92418	0.5195
	yejA	7.3886	6.67727	-0.146041	0.69325	7.07698	6.8224	-0.0528557	0.90685
	yejB	5.77586	5.67647	-0.0250426	0.95955	2.0815	2.26815	0.123892	0.8548
	yejE	4.90207	4.57553	-0.0994531	0.86075	1.34808	1.51349	0.166969	0.85135
	yejF	11.5466	9.67065	-0.255782	0.47535	4.89966	4.68286	-0.0652913	0.8901
	yejG	68.3423	53.6728	-0.348586	0.35795	126.415	89.2461	-0.502301	0.2377
	yejH	4.46045	4.27193	-0.0623033	0.8712	2.91658	3.32398	0.188633	0.68885
	yejK	61.0263	55.9567	-0.125122	0.71765	136.796	122.227	-0.162462	0.67685
	yejL	218.615	223.982	0.0349887	0.9225	1013.77	922.028	-0.136847	0.7357
	yejM	40.4105	39.7969	-0.0220752	0.95135	12.3229	12.939	0.0703827	0.8661
	yejO	7.79482	7.98699	0.0351356	0.9242	3.06683	3.38588	0.142784	0.7593
	yfaA	2.22889	1.83711	-0.27889	0.5333	0.296451	0.244213	-0.279651	0.76045
	yfaD	4.0596	3.53659	-0.198975	0.6268	7.14003	7.14601	0.00120712	0.9982
	yfaE	237.973	205.962	-0.208418	0.83085	28.419	26.0337	-0.126475	0.96135
	yfaH	128.538	142.46	0.148357	0.69905	57.8324	51.5163	-0.16685	0.76465
	yfaL	3.75397	3.27158	-0.198432	0.5804	0.30897	0.270247	-0.19319	0.76305
	yfaP	3.53553	2.46134	-0.522486	0.22215	0.660602	0.657857	-0.00600525	0.98225
	yfaQ	2.37368	2.08995	-0.183657	0.64275	0.051999	0.0514624	-0.0149642	1
